arquivo,resolução,tamanho_kb
retrato.jpg,1000x1331,712.0
pisada.png,768x767,715.7
poeira-amarela.png,1024x1024,2626.9
botoes-falantes.jpg,4203x2975,681.4
ciimus.png,1759x955,18.3
caboclo-de-luz.jpg,4000x3000,2331.5
tumta.jpg,1080x1080,227.7
giromin.jpg,2832x4240,558.4
foles-digitais.jpg,1536x2048,167.1
agora.png,1196x1336,754.9
foco.jpg,2565x1680,880.1
alterite.jpg,6720x4480,16080.7
mulher-banda.png,798x1040,1347.5
abertura-carnaval.png,883x497,768.1
piso-interativo.jpg,4000x2667,2079.2
gira - cópia.jpg,1000x667,47.0
porcos.jpg,1224x816,36.6
contact.jpg,3508x2480,1449.5
bongarbit.jpg,3024x4032,3150.9
gira.jpg,1000x667,47.0
engome-adubado.png,609x886,871.5
poeira.png,600x600,198.7
grupo-ori.jpg,2168x1446,5439.6
batebit.png,2480x3508,304.2
agbau.jpg,3192x4604,943.7
violed.jpg,848x480,30.4
probatio.jpg,3456x3456,589.0
poeira 2.png,1024x1024,3349.0
beija-flor.png,1024x1024,1438.9
beija-flor-circulo.png,500x500,237.0
poeira2.png,466x349,20.4
